model,MAE,RMSE,QLIKE,n_obs
EWMA,0.0492543021693102,0.07656486061764653,0.43662155844799244,874
"GARCH(1,1)",0.04763094932051655,0.07196985245776286,0.38669891771378434,874
GJR-GARCH,0.04358043260727807,0.06485298444594492,0.34217156142654015,874
RandomForest,0.043407523864158096,0.07136713371956224,0.4149730540668837,874
XGBoost,0.044565344107400845,0.07471180148726837,0.4245042408626213,874
Hybrid (symmetric),0.04019494952420543,0.06255798037085825,0.3848435683830221,874
Hybrid (quantile),0.09714665551198916,0.11895897700883226,0.6250532749757827,874
