model,MAE,RMSE,QLIKE,n_obs
EWMA,0.049254302169310156,0.07656486061764657,0.43662155844799266,874
"GARCH(1,1)",0.04763095161027165,0.07196985276438536,0.3866989265844207,874
GJR-GARCH,0.04358043522481845,0.06485298487044092,0.34217157073552196,874
