model_a,model_b,loss,mean_loss_a,mean_loss_b,lower_loss,n,mean_loss_diff,hac_lags,se_mean_diff,dm_stat,dm_pvalue,dm_stat_hln,dm_pvalue_hln,significant_5pct,dm_stat_lag0,dm_pvalue_lag0,dm_stat_lag1,dm_pvalue_lag1,dm_stat_lag2,dm_pvalue_lag2,dm_stat_lag3,dm_pvalue_lag3,dm_stat_lag4,dm_pvalue_lag4
GJR-GARCH,RandomForest,MAE,0.04358043260727807,0.04340752386415811,RandomForest,874,0.00017290874311997584,4,0.0015261165106581983,0.11329983124643746,0.909792851025645,0.11271646107632,0.9102812631756863,False,0.16956025790619253,0.8653559794711931,0.13975878614981604,0.8888505775072357,0.12721694146973114,0.8987686969720814,0.11892067154407121,0.9053382044516727,0.11329983124643746,0.909792851025645
GJR-GARCH,RandomForest,RMSE,0.004205909591545974,0.00509326777534588,GJR-GARCH,874,-0.0008873581837999048,4,0.0007151651242934139,-1.2407738488039644,0.21468930447421752,-1.234385221007338,0.21739155790368025,False,-1.9247819884305812,0.05425663825099347,-1.5468412734124495,0.12190152497806439,-1.4107219906583583,0.15832660416001887,-1.3181414879455478,0.18745628838817807,-1.2407738488039644,0.21468930447421752
GJR-GARCH,RandomForest,QLIKE,0.34217156142654037,0.41497305406688395,GJR-GARCH,874,-0.07280149264034358,4,0.030118513831108005,-2.417167495334724,0.015641817584342244,-2.404721727345108,0.016392082259717222,True,-3.82845953715698,0.00012894782510897151,-3.046332850873327,0.0023165123771400342,-2.689422315554927,0.00715758043398762,-2.506822937566436,0.012182171898955652,-2.417167495334724,0.015641817584342244
GJR-GARCH,Hybrid (symmetric),MAE,0.04358043260727807,0.04019494952420543,Hybrid (symmetric),874,0.0033854830830726467,4,0.0012055202018739228,2.8083171711349815,0.004980115140595709,2.7938574102699776,0.005322396250416528,True,4.269701635700159,1.9573462885835724e-05,3.460585364694887,0.0005390023098335028,3.1097123278386025,0.0018726963369515293,2.9137028360623547,0.0035716972036829997,2.8083171711349815,0.004980115140595709
GJR-GARCH,Hybrid (symmetric),RMSE,0.004205909591545974,0.003913500908080688,Hybrid (symmetric),874,0.00029240868346528716,4,0.00020946776061296667,1.3959603263509859,0.16272644257198454,1.3887726579837727,0.16525608436512274,False,1.9255511666725307,0.05416044124204977,1.64137014809197,0.10072060267827765,1.4999468352312977,0.13362817463287802,1.4174475055316422,0.1563521318505099,1.3959603263509859,0.16272644257198454
GJR-GARCH,Hybrid (symmetric),QLIKE,0.34217156142654037,0.3848435683830226,GJR-GARCH,874,-0.04267200695648215,4,0.019541404508373553,-2.1836714417429444,0.028986399732146673,-2.172427922962414,0.03009183039931962,True,-3.1198724707556815,0.001809293537375023,-2.674998013688866,0.0074729692942163695,-2.426438053850755,0.015247853150353041,-2.259136629575453,0.023874887246539744,-2.1836714417429444,0.028986399732146673
