quantile_alpha,n_inner_val,MAE,RMSE,underprediction_rate,mean_correction,n_violations_99,violation_rate_99,kupiec_LR_99,kupiec_pvalue_99,n_violations_95,violation_rate_95,kupiec_pvalue_95,passes_kupiec_99,selected
0.5,756,0.06898712478277691,0.12077328011687559,0.578042328042328,,43,0.056878306878306875,80.3215695990474,0.0,70,0.09259259259259259,1.3632759946480277e-06,False,False
0.6,756,0.07052436715766194,0.12359883308957477,0.49206349206349204,,34,0.04497354497354497,50.30251307133233,1.3178347302300608e-12,64,0.08465608465608465,6.438529991514841e-05,False,False
0.7,756,0.07660698357721574,0.14169565434737205,0.421957671957672,,25,0.03306878306878307,25.32980893135607,4.831836682983592e-07,57,0.07539682539682539,0.0027860715680914083,False,False
0.8,756,0.08346064569684652,0.14877287346968654,0.3082010582010582,,22,0.0291005291005291,18.39994238683707,1.790633955989218e-05,43,0.056878306878306875,0.39536825929881203,False,False
0.9,756,0.09957405519688442,0.15840877953574978,0.21164021164021163,,14,0.018518518518518517,4.428784920428683,0.035337656457492206,30,0.03968253968253968,0.17758687807341023,False,False
0.95,756,0.12273736941526955,0.1752484139725449,0.13756613756613756,,9,0.011904761904761904,0.2611333099440003,0.6093426227053587,28,0.037037037037037035,0.0870950909431687,True,True
0.99,756,0.207296505820685,0.24041212190617448,0.062169312169312166,,8,0.010582010582010581,0.025384345889051474,0.8734130964873938,14,0.018518518518518517,5.751782563123697e-06,True,False
