Date,Open,High,Low,Close,Adj Close,Volume,flag_missing_value,flag_zero_volume,log_return,flag_outlier_return,target_rv_5d,target_ret_5d,hist_vol_5d,hist_vol_10d,hist_vol_20d,today_return,today_abs_return,today_sq_return
2011-01-03,1257.6199951171875,1276.1700439453125,1257.6199951171875,1271.8699951171875,1271.8699951171875,4286670000,False,False,,False,0.04288827857289234,-0.0016682238988654002,,,,,,
2011-01-04,1272.949951171875,1274.1199951171875,1262.6600341796875,1270.199951171875,1270.199951171875,4796420000,False,False,-0.001313924652635,False,0.04948915934044247,0.0033639070121767,,,,-0.001313924652635,0.001313924652635,1.7263979928020055e-06
2011-01-05,1268.780029296875,1277.6300048828125,1265.3599853515625,1276.56005859375,1276.56005859375,4764920000,False,False,0.0049946760743084,False,0.0724196479772773,0.0073364847367191,,,,0.0049946760743084,0.0049946760743084,2.4946789087268767e-05
2011-01-06,1276.2900390625,1278.1700439453125,1270.4300537109375,1273.8499755859375,1273.8499755859375,4844100000,False,False,-0.0021252143706372,False,0.07186604223259199,0.007749487866897,,,,-0.0021252143706372,0.0021252143706372,4.51653612116287e-06
2011-01-07,1274.4100341796875,1276.8299560546875,1261.699951171875,1271.5,1271.5,4963110000,False,False,-0.0018464857690818,False,0.0878698792719312,0.0169533839832802,,,,-0.0018464857690818,0.0018464857690818,3.4095096954216062e-06
2011-01-10,1270.8399658203125,1271.52001953125,1262.1800537109375,1269.75,1269.75,4036450000,False,False,-0.0013772751808198,False,0.0878684496304876,0.0197061234302832,0.04288827857289234,,,-0.0013772751808198,0.0013772751808198,1.8968869237022126e-06
2011-01-11,1272.5799560546875,1277.25,1269.6199951171875,1274.47998046875,1274.47998046875,4050750000,False,False,0.0037182062584071,False,0.1106073824207413,0.005820751378490601,0.04948915934044247,,,0.0037182062584071,0.0037182062584071,1.3825057780057725e-05
2011-01-12,1275.6500244140625,1286.8699951171875,1275.6500244140625,1285.9599609375,1285.9599609375,4226940000,False,False,0.0089672537988508,False,0.09091684479573069,-0.004442300824194101,0.0724196479772773,,,0.0089672537988508,0.0089672537988508,8.041164069300409e-05
2011-01-13,1285.780029296875,1286.699951171875,1280.469970703125,1283.760009765625,1283.760009765625,4310840000,False,False,-0.0017122112404593,False,0.09171150302169181,-0.00031945197947440013,0.07186604223259199,,,-0.0017122112404593,0.0017122112404593,2.931667331955175e-06
2011-01-14,1282.9000244140625,1293.239990234375,1281.239990234375,1293.239990234375,1293.239990234375,4661590000,False,False,0.0073574103473014,False,0.0859624342527654,-0.0018575470921804007,0.0878698792719312,,,0.0073574103473014,0.0073574103473014,5.413148701857771e-05
2011-01-18,1293.219970703125,1296.06005859375,1290.1600341796875,1295.02001953125,1295.02001953125,5284990000,False,False,0.0013754642661832,False,0.08542649303217999,-0.0029695835847451005,0.0878684496304876,0.06913851632560375,,0.0013754642661832,0.0013754642661832,1.8919019475468885e-06
